id,rank,price_usd,market_cap_usd,fully_diluted_usd,volume_24h_usd,turnover_pct,ath_usd,ath_date,pct_from_ath,change_30d_pct,change_1y_pct,circulating_supply,max_supply,listed_on
bitcoin,1,79404,1594496833516,1594498103973,22620429891,1.42,126080,2025-10-06,'-37.02,22.24,'-28.54,20080918,21000000,binance coinbase bybit okx kraken bitget mexc gateio
ethereum,2,2488.88,303721987039,303721987039,11027741006,3.63,4946.05,2025-08-24,'-49.68,29.78,'-42.12,122026782.25209972,,binance coinbase bybit okx kraken bitget gateio
binancecoin,4,743.59,99015576131,99015572011,1053142949,1.06,1369.99,2025-10-13,'-45.72,25.11,'-14.62,133161760.04,200000000,binance coinbase bybit okx kraken bitget mexc gateio
ripple,5,1.4,87789601756,139895891394,1827940942,2.08,3.65,2025-07-17,'-61.63,35.15,'-50.58,62744504852,100000000000,binance coinbase bybit okx kraken bitget mexc gateio
solana,7,104.93,61504459692,66486094201,3546332534,5.77,293.31,2025-01-19,'-64.23,40.22,'-48.35,586166183.5329264,,binance coinbase bybit okx kraken bitget mexc gateio
tron,8,0.336911,31985816705,31985819498,291864658,0.91,0.431288,2024-12-03,'-21.88,2.74,2.79,94939417072.16649,,binance bybit okx kraken bitget mexc gateio
dogecoin,11,0.089586,13959623118,15367238597,794899616,5.69,0.731578,2021-05-07,'-87.75,27.37,'-58.77,155815456383.70526,,binance coinbase bybit okx kraken bitget gateio
chainlink,14,13.3,9952656276,13303912136,877125917,8.81,52.7,2021-05-09,'-74.76,60.41,'-40.23,748099970.424884,1000000000,binance coinbase bybit okx kraken bitget mexc gateio
cardano,17,0.21882,8209042959,9848098694,428110046,5.22,3.09,2021-09-01,'-92.91,9.99,'-73.52,37510482444.2993,45000000000,binance coinbase bybit okx kraken bitget mexc gateio
uniswap,22,7.03,4384530838,6264719737,682132246,15.56,44.92,2021-05-02,'-84.34,76.22,'-24.81,623212423.7271129,1000000000,binance coinbase bybit okx kraken bitget mexc gateio
litecoin,24,56.02,4346761805,4346767758,343644954,7.91,410.26,2021-05-09,'-86.34,22.97,'-50.89,77583379.32776675,84000000,binance coinbase bybit okx kraken bitget mexc gateio
hedera-hashgraph,28,0.080656,3536882759,4034630279,50459365,1.43,0.569229,2021-09-15,'-85.83,17.67,'-63.3,43831559704.075874,50000000000,binance coinbase bybit okx kraken bitget mexc gateio
avalanche-2,29,7.87,3400465954,3649879316,286041529,8.41,144.96,2021-11-21,'-94.57,20.4,'-67.8,431771961.1772119,720000000,binance coinbase bybit okx kraken bitget mexc gateio
sui,30,0.811789,3325667911,8118241803,626690428,18.84,5.35,2025-01-04,'-84.82,17.09,'-76,4096537146.5409594,10000000000,binance coinbase bybit okx kraken bitget mexc gateio
shiba-inu,32,0.00000547,3221678468,3223082749,63790212,1.98,0.00008616,2021-10-27,'-93.66,17.05,'-55.77,589239307782558.2,,binance coinbase bybit okx kraken bitget gateio
near,33,2.35,3067326362,3067326405,534220473,17.42,20.44,2022-01-16,'-88.51,46.56,'-3.56,1305669321,,binance coinbase bybit okx kraken bitget mexc gateio
aave,46,134.04,2067716792,2144459724,228485102,11.05,661.69,2021-05-18,'-79.74,48.66,'-55.38,15427414.330044037,16000000,binance coinbase bybit okx kraken bitget mexc gateio
ondo-finance,48,0.387676,1887262679,3875815417,142626460,7.56,2.14,2024-12-15,'-81.89,9.65,'-57.19,4869330647,10000000000,binance coinbase bybit okx kraken bitget mexc gateio
